2020-07-07 10:31:17.919 [main] INFO  org.coral.server.App - Starting App on DESKTOP-I6VTE4Q with PID 28392 (E:\server\jeremy\workspace\coral\coral-server\target\classes started by Jereme in E:\server\jeremy\workspace\coral\coral-server)
2020-07-07 10:31:17.923 [main] INFO  org.coral.server.App - The following profiles are active: dev
2020-07-07 10:31:20.711 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-07 10:31:20.728 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-07 10:31:20.729 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-07 10:31:20.730 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-07 10:31:20.847 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-07 10:31:20.847 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2839 ms
2020-07-07 10:31:21.170 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-07 10:31:21.726 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-07 10:31:21.850 [main] INFO  org.coral.net.core.HandlerProcessor - The initialization message is complete and takes [16] milliseconds.
2020-07-07 10:31:21.936 [main] INFO  o.coral.net.core.base.executor3.DispatchExecutor3 - End to init DispatchExecutor, initWorkers:16, cost time:0
2020-07-07 10:31:23.083 [main] INFO  org.coral.net.network.EchoServer - Netty server listening 127.0.0.1 on port 5001 and ready for connections...
2020-07-07 10:31:23.090 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-07-07 10:31:23.091 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskAsyncPool'
2020-07-07 10:31:23.603 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-07-07 10:31:23.637 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-07 10:31:23.666 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-07 10:31:23.684 [main] INFO  org.coral.server.App - Started App in 6.462 seconds (JVM running for 7.213)
2020-07-07 10:33:16.305 [main] INFO  org.coral.server.App - Starting App on DESKTOP-I6VTE4Q with PID 11204 (E:\server\jeremy\workspace\coral\coral-server\target\classes started by Jereme in E:\server\jeremy\workspace\coral\coral-server)
2020-07-07 10:33:16.307 [main] INFO  org.coral.server.App - The following profiles are active: dev
2020-07-07 10:33:18.150 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-07 10:33:18.164 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-07 10:33:18.165 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-07 10:33:18.165 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-07 10:33:18.252 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-07 10:33:18.252 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1902 ms
2020-07-07 10:33:18.508 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-07 10:33:18.981 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-07 10:33:19.074 [main] INFO  org.coral.net.core.HandlerProcessor - The initialization message is complete and takes [14] milliseconds.
2020-07-07 10:33:19.139 [main] INFO  org.coral.net.core.base.ServerHandler - End to init DisruptorExecutorGroup, initWorkers:16, cost time:48
2020-07-07 10:33:19.141 [main] INFO  o.coral.net.core.base.executor3.DispatchExecutor3 - End to init DispatchExecutor, initWorkers:16, cost time:0
2020-07-07 10:33:20.041 [main] INFO  org.coral.net.network.EchoServer - Netty server listening 127.0.0.1 on port 5001 and ready for connections...
2020-07-07 10:33:20.046 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-07-07 10:33:20.047 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskAsyncPool'
2020-07-07 10:33:20.465 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-07-07 10:33:20.494 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-07 10:33:20.513 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-07 10:33:20.528 [main] INFO  org.coral.server.App - Started App in 4.642 seconds (JVM running for 4.991)
2020-07-07 10:34:05.966 [main] INFO  org.coral.server.App - Starting App on DESKTOP-I6VTE4Q with PID 36436 (E:\server\jeremy\workspace\coral\coral-server\target\classes started by Jereme in E:\server\jeremy\workspace\coral\coral-server)
2020-07-07 10:34:05.968 [main] INFO  org.coral.server.App - The following profiles are active: dev
2020-07-07 10:34:07.810 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-07 10:34:07.821 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-07 10:34:07.822 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-07 10:34:07.822 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-07 10:34:07.903 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-07 10:34:07.903 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1889 ms
2020-07-07 10:34:08.163 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-07 10:34:08.615 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-07 10:34:08.697 [main] INFO  org.coral.net.core.HandlerProcessor - The initialization message is complete and takes [12] milliseconds.
2020-07-07 10:34:08.715 [main] INFO  org.coral.net.core.base.executor.DispatchExecutor - End to init DispatchExecutor, initWorkers:16, cost time:2
2020-07-07 10:34:08.715 [main] INFO  org.coral.net.core.base.ServerHandler - End to init DispatchExecutor, initWorkers:16, cost time:3
2020-07-07 10:34:08.988 [main] INFO  org.coral.net.core.base.ServerHandler - End to init DisruptorExecutorGroup, initWorkers:16, cost time:276
2020-07-07 10:34:08.990 [main] INFO  o.coral.net.core.base.executor3.DispatchExecutor3 - End to init DispatchExecutor, initWorkers:16, cost time:0
2020-07-07 10:34:19.982 [main] INFO  org.coral.net.network.EchoServer - Netty server listening 127.0.0.1 on port 5001 and ready for connections...
2020-07-07 10:34:19.988 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-07-07 10:34:19.989 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskAsyncPool'
2020-07-07 10:34:21.824 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-07-07 10:34:21.981 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
